id,zipcode,name,country_id/id,state_id/id
3130_Begijnendijk,3130,Begijnendijk,base.be,l10n_be.state_be_vbr
6672_Beho,6672,Beho,base.be,l10n_be.state_be_wlx
1852_Beigem,1852,Beigem,base.be,l10n_be.state_be_vbr
8480_Bekegem,8480,Bekegem,base.be,l10n_be.state_be_vwv
1730_Bekkerzeel,1730,Bekkerzeel,base.be,l10n_be.state_be_vbr
3460_Bekkevoort,3460,Bekkevoort,base.be,l10n_be.state_be_vbr
1009_BelgischeSenaat,1009,Belgische Senaat,base.be,
5001_Belgrade,5001,Belgrade,base.be,l10n_be.state_be_wna
4610_Bellaire,4610,Bellaire,base.be,l10n_be.state_be_wlg
7170_Bellecourt,7170,Bellecourt,base.be,l10n_be.state_be_wht
5555_Bellefontaine,5555,Bellefontaine,base.be,l10n_be.state_be_wna
6730_Bellefontaine,6730,Bellefontaine,base.be,l10n_be.state_be_wlx
8510_Bellegem,8510,Bellegem,base.be,l10n_be.state_be_vwv
9881_Bellem,9881,Bellem,base.be,l10n_be.state_be_vov
6834_Bellevaux,6834,Bellevaux,base.be,l10n_be.state_be_wlx
4960_BellevauxLigneuville,4960,Bellevaux-Ligneuville,base.be,l10n_be.state_be_wlg
1674_Bellingen,1674,Bellingen,base.be,l10n_be.state_be_vbr
7970_Beloeil,7970,Beloeil,base.be,l10n_be.state_be_wht
9111_Belsele,9111,Belsele,base.be,l10n_be.state_be_vov
4500_BenAhin,4500,Ben-Ahin,base.be,l10n_be.state_be_wlg
6941_Bende,6941,Bende,base.be,l10n_be.state_be_wlx
3540_Berbroek,3540,Berbroek,base.be,l10n_be.state_be_vli
2600_Berchem,2600,Berchem,base.be,l10n_be.state_be_van
9690_Berchem,9690,Berchem,base.be,l10n_be.state_be_vov
2040_Berendrecht,2040,Berendrecht,base.be,l10n_be.state_be_van
1910_Berg,1910,Berg,base.be,l10n_be.state_be_vbr
3700_Berg,3700,Berg,base.be,l10n_be.state_be_vli
4360_Bergilers,4360,Bergilers,base.be,l10n_be.state_be_wlg
3580_Beringen,3580,Beringen,base.be,l10n_be.state_be_vli
2590_Berlaar,2590,Berlaar,base.be,l10n_be.state_be_van
9290_Berlare,9290,Berlare,base.be,l10n_be.state_be_vov
3830_Berlingen,3830,Berlingen,base.be,l10n_be.state_be_vli
4257_Berloz,4257,Berloz,base.be,l10n_be.state_be_wlg
4607_Berneau,4607,Berneau,base.be,l10n_be.state_be_wlg
7320_Bernissart,7320,Bernissart,base.be,l10n_be.state_be_wht
6560_BersilliesLAbbaye,6560,Bersillies-L'Abbaye,base.be,l10n_be.state_be_wht
3060_Bertem,3060,Bertem,base.be,l10n_be.state_be_vbr
6687_Bertogne,6687,Bertogne,base.be,l10n_be.state_be_wlx
4280_Bertree,4280,Bertrée,base.be,l10n_be.state_be_wlg
6880_Bertrix,6880,Bertrix,base.be,l10n_be.state_be_wlx
5651_Berzee,5651,Berzée,base.be,l10n_be.state_be_wna
8980_Beselare,8980,Beselare,base.be,l10n_be.state_be_vwv
3130_Betekom,3130,Betekom,base.be,l10n_be.state_be_vbr
4300_Bettincourt,4300,Bettincourt,base.be,l10n_be.state_be_wlg
5030_Beuzet,5030,Beuzet,base.be,l10n_be.state_be_wna
2560_Bevel,2560,Bevel,base.be,l10n_be.state_be_van
1547_Bever,1547,Bever,base.be,l10n_be.state_be_vbr
4960_Beverce,4960,Bevercé,base.be,l10n_be.state_be_wlg
9700_Bevere,9700,Bevere,base.be,l10n_be.state_be_vov
8791_Beveren,8791,Beveren,base.be,l10n_be.state_be_vwv
8800_Beveren,8800,Beveren,base.be,l10n_be.state_be_vwv
